SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631093,22300741,"FEB 08, 2024",DET @ POR,W,46.5,8,21,0.381,3.5,7,0.9994999999999999,3.0,6,0.5,0,3,3.0,4.0,0.0,0.0,6,4.0,26.0,3,1
22023,1631093,22300732,"FEB 07, 2024",DET @ SAC,W,38.0,13,23,0.565,3.5,7,0.714,6.0,6,1.0,2,4,6.0,7.0,0.0,0.0,5,3.0,32.5,10,1
22023,1631093,22300704,"FEB 04, 2024",DET vs. ORL,L,35.0,7,12,0.583,2.0,4,0.5,2.0,2,1.0,0,3,3.0,3.0,1.0,1.0,3,3.0,18.0,-12,1
22023,1631093,22300688,"FEB 02, 2024",DET vs. LAC,L,34.0,11,18,0.611,3.0,8,0.375,3.0,6,0.5,5,2,7.0,3.0,0.0,0.0,3,2.0,28.0,5,1
22023,1631093,22300675,"JAN 31, 2024",DET @ CLE,L,29.0,5,7,0.714,2.0,3,0.667,2.0,3,0.667,0,1,1.0,4.0,2.0,1.0,4,4.5,14.0,-21,1
22023,1631093,22300654,"JAN 28, 2024",DET vs. OKC,W,35.0,7,20,0.35,3.0,7,0.429,2.0,5,0.4,3,5,8.0,6.0,0.0,0.0,0,2.0,19.0,13,1
22023,1631093,22300642,"JAN 27, 2024",DET vs. WAS,L,26.0,4,8,0.5,2.0,3,0.667,0.0,0,0.0,2,2,4.0,1.0,0.0,2.0,3,3.0,10.0,1,1
22023,1631093,22300619,"JAN 24, 2024",DET vs. CHA,W,22.0,4,10,0.4,1.0,3,0.333,0.0,0,0.0,0,1,1.0,2.0,1.0,0.0,2,2.0,9.0,-11,1
22023,1631093,22300606,"JAN 22, 2024",DET vs. MIL,L,32.0,5,14,0.357,1.0,4,0.25,6.0,7,0.857,1,2,3.0,6.0,0.0,0.0,3,0.5,17.0,-23,1
22023,1631093,22300592,"JAN 20, 2024",DET vs. MIL,L,32.0,6,16,0.375,2.0,5,0.4,4.0,7,0.571,2,4,6.0,6.0,0.0,1.0,3,4.5,18.0,-15,1
