SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON
22022,1631105,22200585,"JAN 06, 2023",DET @ SAS,L,27,5,8,0.625,0,0,0.0,1,1,1.0,3,6,9,0,2,0,1,2,11,-12,2022-23
22022,1631105,22200573,"JAN 04, 2023",DET @ GSW,W,32,8,8,1.0,0,0,0.0,2,3,0.667,5,6,11,0,0,0,3,2,18,5,2022-23
22022,1631105,22200559,"JAN 02, 2023",DET @ POR,L,22,2,6,0.333,0,0,0.0,1,2,0.5,5,6,11,3,1,1,0,2,5,-14,2022-23
22022,1631105,22200544,"DEC 31, 2022",DET @ MIN,W,14,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,1,0,0,1,4,3,-15,2022-23
22022,1631105,22200532,"DEC 30, 2022",DET @ CHI,L,31,2,4,0.5,0,0,0.0,0,0,0.0,3,5,8,3,0,0,1,2,4,-16,2022-23
22022,1631105,22200515,"DEC 28, 2022",DET vs. ORL,W,34,3,5,0.6,0,0,0.0,1,2,0.5,8,10,18,4,0,1,2,5,7,10,2022-23
22022,1631105,22200499,"DEC 26, 2022",DET vs. LAC,L,39,7,11,0.636,0,0,0.0,1,1,1.0,7,5,12,2,1,1,1,3,15,-16,2022-23
22022,1631105,22200481,"DEC 23, 2022",DET @ ATL,L,28,5,7,0.714,0,0,0.0,3,4,0.75,3,5,8,0,0,1,1,2,13,-6,2022-23
22022,1631105,22200467,"DEC 21, 2022",DET @ PHI,L,28,3,4,0.75,0,0,0.0,1,2,0.5,2,6,8,4,0,0,2,2,7,-2,2022-23
22022,1631105,22200461,"DEC 20, 2022",DET vs. UTA,L,30,7,9,0.778,0,0,0.0,1,1,1.0,6,8,14,0,0,0,1,3,15,-7,2022-23
22022,1631105,22200447,"DEC 18, 2022",DET vs. BKN,L,29,4,5,0.8,0,0,0.0,0,0,0.0,3,8,11,2,3,0,2,3,8,13,2022-23
22022,1631105,22200429,"DEC 16, 2022",DET vs. SAC,L,30,5,7,0.714,0,0,0.0,5,6,0.833,6,8,14,1,0,1,0,4,15,-13,2022-23
22022,1631105,22200414,"DEC 14, 2022",DET @ CHA,W,36,2,8,0.25,0,0,0.0,3,4,0.75,6,13,19,2,0,3,3,4,7,12,2022-23
22022,1631105,22200396,"DEC 11, 2022",DET vs. LAL,L,24,1,1,1.0,0,0,0.0,1,2,0.5,4,9,13,2,1,0,1,4,3,-5,2022-23
22022,1631105,22200383,"DEC 09, 2022",DET @ MEM,L,28,5,7,0.714,0,0,0.0,0,0,0.0,2,10,12,0,0,0,1,3,10,-12,2022-23
22022,1631105,22200371,"DEC 07, 2022",DET @ NOP,L,27,5,5,1.0,0,0,0.0,2,2,1.0,5,8,13,0,1,0,3,0,12,11,2022-23
22022,1631105,22200361,"DEC 06, 2022",DET @ MIA,W,18,2,3,0.667,0,0,0.0,0,0,0.0,2,2,4,0,0,0,2,2,4,10,2022-23
22022,1631105,22200347,"DEC 04, 2022",DET vs. MEM,L,15,0,0,0.0,0,0,0.0,0,0,0.0,2,1,3,3,1,2,1,3,0,-6,2022-23
22022,1631105,22200325,"DEC 01, 2022",DET vs. DAL,W,18,5,7,0.714,0,0,0.0,1,4,0.25,1,1,2,0,2,0,1,2,11,-4,2022-23
22022,1631105,22200309,"NOV 29, 2022",DET vs. NYK,L,27,6,7,0.857,0,0,0.0,0,0,0.0,3,2,5,1,1,0,1,3,12,-13,2022-23
22022,1631105,22200295,"NOV 27, 2022",DET vs. CLE,L,20,0,3,0.0,0,0,0.0,1,2,0.5,2,4,6,1,0,0,0,2,1,-10,2022-23
22022,1631105,22200283,"NOV 25, 2022",DET @ PHX,L,14,0,1,0.0,0,0,0.0,4,4,1.0,3,2,5,2,0,0,1,3,4,6,2022-23
22022,1631105,22200270,"NOV 23, 2022",DET @ UTA,W,27,2,4,0.5,0,0,0.0,0,0,0.0,2,5,7,0,2,2,1,3,4,6,2022-23
22022,1631105,22200258,"NOV 22, 2022",DET @ DEN,W,26,2,3,0.667,0,0,0.0,0,0,0.0,4,3,7,2,1,0,0,4,4,14,2022-23
