SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON
22021,1630595,22100579,"JAN 06, 2022",DET @ MEM,L,31,5,19,0.263,2,10,0.2,0,0,0.0,1,4,5,6,0,0,1,2,12,-25,2021-22
22021,1630595,22100567,"JAN 05, 2022",DET @ CHA,L,26,6,12,0.5,4,9,0.444,0,0,0.0,0,2,2,7,2,0,4,4,16,-18,2021-22
22021,1630595,22100556,"JAN 03, 2022",DET @ MIL,W,37,8,15,0.533,3,7,0.429,0,0,0.0,1,3,4,7,0,1,5,4,19,13,2021-22
22021,1630595,22100466,"DEC 21, 2021",DET @ NYK,L,33,2,13,0.154,0,2,0.0,3,3,1.0,0,9,9,9,0,1,5,2,7,-18,2021-22
22021,1630595,22100449,"DEC 19, 2021",DET vs. MIA,W,31,2,4,0.5,0,2,0.0,0,0,0.0,0,3,3,10,2,0,4,6,4,4,2021-22
22021,1630595,22100441,"DEC 18, 2021",DET vs. HOU,L,36,8,19,0.421,3,9,0.333,2,2,1.0,2,5,7,11,2,1,3,3,21,3,2021-22
22021,1630595,22100428,"DEC 16, 2021",DET @ IND,L,34,8,16,0.5,1,4,0.25,2,2,1.0,0,6,6,4,1,2,2,5,19,-7,2021-22
22021,1630595,22100399,"DEC 12, 2021",DET vs. BKN,L,36,9,18,0.5,5,8,0.625,3,5,0.6,0,8,8,6,3,1,7,1,26,-16,2021-22
22021,1630595,22100388,"DEC 10, 2021",DET @ NOP,L,31,5,17,0.294,2,7,0.286,4,5,0.8,0,1,1,4,3,0,2,2,16,-13,2021-22
22021,1630595,22100368,"DEC 08, 2021",DET vs. WAS,L,37,8,20,0.4,1,4,0.25,4,4,1.0,2,2,4,3,2,0,3,4,21,-5,2021-22
22021,1630595,22100354,"DEC 06, 2021",DET vs. OKC,L,36,11,24,0.458,6,11,0.545,0,0,0.0,3,8,11,5,1,0,6,3,28,-7,2021-22
22021,1630595,22100331,"DEC 02, 2021",DET @ PHX,L,31,8,15,0.533,3,5,0.6,0,0,0.0,1,1,2,5,1,1,5,3,19,5,2021-22
22021,1630595,22100317,"NOV 30, 2021",DET @ POR,L,33,10,13,0.769,5,7,0.714,1,2,0.5,0,7,7,1,1,3,6,4,26,0,2021-22
22021,1630595,22100304,"NOV 28, 2021",DET @ LAL,L,34,6,16,0.375,3,9,0.333,0,0,0.0,1,10,11,2,0,1,5,1,15,0,2021-22
22021,1630595,22100280,"NOV 26, 2021",DET @ LAC,L,28,3,13,0.231,0,5,0.0,4,5,0.8,2,4,6,6,3,0,4,5,10,0,2021-22
22021,1630595,22100273,"NOV 24, 2021",DET @ MIL,L,30,3,10,0.3,2,6,0.333,1,2,0.5,0,8,8,7,0,0,4,1,9,-23,2021-22
22021,1630595,22100263,"NOV 23, 2021",DET vs. MIA,L,29,2,10,0.2,1,7,0.143,1,1,1.0,0,3,3,6,1,0,4,4,6,-11,2021-22
22021,1630595,22100249,"NOV 21, 2021",DET vs. LAL,L,38,6,21,0.286,1,9,0.111,0,0,0.0,1,11,12,10,2,0,3,3,13,0,2021-22
22021,1630595,22100231,"NOV 19, 2021",DET vs. GSW,L,36,6,12,0.5,3,8,0.375,4,4,1.0,1,5,6,6,3,2,2,2,19,-4,2021-22
22021,1630595,22100214,"NOV 17, 2021",DET vs. IND,W,34,6,18,0.333,1,8,0.125,3,4,0.75,0,8,8,6,2,1,1,2,16,3,2021-22
22021,1630595,22100200,"NOV 15, 2021",DET vs. SAC,L,35,10,20,0.5,5,11,0.455,0,0,0.0,2,6,8,8,2,0,4,1,25,-15,2021-22
22021,1630595,22100189,"NOV 13, 2021",DET @ TOR,W,33,4,10,0.4,2,8,0.25,0,0,0.0,1,2,3,4,1,1,1,4,10,4,2021-22
22021,1630595,22100176,"NOV 12, 2021",DET @ CLE,L,31,4,8,0.5,1,3,0.333,0,0,0.0,1,5,6,3,1,0,7,1,9,-9,2021-22
22021,1630595,22100162,"NOV 10, 2021",DET @ HOU,W,30,8,18,0.444,4,8,0.5,0,0,0.0,1,3,4,3,2,1,4,3,20,1,2021-22
22021,1630595,22100124,"NOV 05, 2021",DET vs. BKN,L,30,6,17,0.353,3,7,0.429,2,2,1.0,0,4,4,2,1,0,6,4,17,-16,2021-22
22021,1630595,22100119,"NOV 04, 2021",DET vs. PHI,L,32,4,17,0.235,1,7,0.143,9,10,0.9,4,6,10,4,1,0,3,3,18,7,2021-22
22021,1630595,22100103,"NOV 02, 2021",DET vs. MIL,L,29,2,14,0.143,0,9,0.0,2,2,1.0,0,2,2,3,0,0,2,2,6,-22,2021-22
22021,1630595,22100079,"OCT 30, 2021",DET vs. ORL,W,19,1,8,0.125,0,5,0.0,0,0,0.0,2,5,7,2,0,1,2,0,2,1,2021-22
22022,1630595,22200163,"NOV 09, 2022",DET @ BOS,L,24,1,11,0.091,0,6,0.0,2,2,1.0,1,2,3,2,0,1,2,2,4,-17,2022-23
22022,1630595,22200146,"NOV 07, 2022",DET vs. OKC,W,36,8,21,0.381,2,7,0.286,3,4,0.75,1,10,11,7,0,1,5,4,21,12,2022-23
22022,1630595,22200120,"NOV 04, 2022",DET vs. CLE,L,31,7,18,0.389,3,6,0.5,2,3,0.667,1,4,5,5,1,1,1,1,19,-8,2022-23
22022,1630595,22200113,"NOV 02, 2022",DET @ MIL,L,31,5,13,0.385,0,2,0.0,0,0,0.0,0,6,6,4,1,0,2,3,10,-24,2022-23
22022,1630595,22200100,"OCT 31, 2022",DET @ MIL,L,36,11,23,0.478,3,9,0.333,2,2,1.0,1,5,6,7,1,1,5,2,27,-7,2022-23
22022,1630595,22200091,"OCT 30, 2022",DET vs. GSW,W,39,9,20,0.45,1,3,0.333,4,4,1.0,1,9,10,9,0,1,4,4,23,16,2022-23
22022,1630595,22200070,"OCT 28, 2022",DET vs. ATL,L,33,14,23,0.609,0,3,0.0,7,8,0.875,1,8,9,8,1,0,1,5,35,-13,2022-23
22022,1630595,22200057,"OCT 26, 2022",DET vs. ATL,L,37,11,25,0.44,1,3,0.333,3,4,0.75,0,8,8,6,1,2,7,2,26,-8,2022-23
22022,1630595,22200052,"OCT 25, 2022",DET @ WAS,L,32,7,19,0.368,0,2,0.0,5,6,0.833,0,3,3,3,1,0,3,3,19,-18,2022-23
22022,1630595,22200029,"OCT 22, 2022",DET @ IND,L,33,8,19,0.421,4,8,0.5,2,2,1.0,2,2,4,4,1,0,2,3,22,4,2022-23
