SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
22023,1631105,22300642,"JAN 27, 2024",DET vs. WAS,L,36.0,5.0,6.0,0.833,0,0.0,0.0,0,0,0.0,3.0,15,18.0,3,0.0,0.0,1,4.0,10.0,-4
22023,1631105,22300619,"JAN 24, 2024",DET vs. CHA,W,22.0,7.0,9.0,0.778,0,0.0,0.0,0,1,0.0,2.0,6,8.0,2,0.0,0.0,1,3.0,14.0,5
22023,1631105,22300606,"JAN 22, 2024",DET vs. MIL,L,33.0,5.0,14.0,0.357,0,0.0,0.0,2,2,1.0,1.0,11,12.0,1,0.0,1.0,2,4.0,12.0,-15
22023,1631105,22300592,"JAN 20, 2024",DET vs. MIL,L,30.0,4.0,8.0,0.5,0,0.0,0.0,0,0,0.0,2.0,7,9.0,1,1.0,0.0,1,5.0,8.0,-22
22023,1631105,22300569,"JAN 17, 2024",DET vs. MIN,L,31.0,8.0,14.0,0.571,0,0.0,0.0,0,1,0.0,2.0,9,11.0,3,0.0,0.0,2,4.0,16.0,-8
22023,1631105,22300558,"JAN 15, 2024",DET @ WAS,W,26.0,8.0,8.0,1.0,0,0.0,0.0,4,5,0.8,2.0,17,19.0,4,0.0,1.0,2,3.0,20.0,8
22023,1631105,22300534,"JAN 12, 2024",DET vs. HOU,L,32.0,7.0,12.0,0.583,0,0.0,0.0,1,2,0.5,2.0,6,8.0,3,2.0,1.0,2,3.0,15.0,9
22023,1631105,22300519,"JAN 10, 2024",DET vs. SAS,L,30.0,10.0,16.0,0.625,0,0.0,0.0,1,1,1.0,2.0,10,12.0,2,0.0,0.0,1,4.0,21.0,-7
22023,1631105,22300512,"JAN 09, 2024",DET vs. SAC,L,24.0,8.0,14.0,0.571,0,0.0,0.0,0,0,0.0,3.0,7,10.0,3,0.0,0.0,3,4.0,16.0,-22
22023,1631105,22300502,"JAN 07, 2024",DET @ DEN,L,30.0,8.0,12.0,0.667,0,0.0,0.0,4,6,0.667,2.0,3,5.0,4,0.0,0.0,1,1.5,20.0,-14
22023,1631105,22300490,"JAN 05, 2024",DET @ GSW,L,33.0,6.0,6.0,1.0,0,0.0,0.0,1,2,0.5,4.0,8,12.0,2,0.0,2.0,1,2.0,13.0,-5
22023,1631105,22300474,"JAN 03, 2024",DET @ UTA,L,36.0,6.0,7.0,0.857,0,0.0,0.0,5,5,1.0,4.0,6,10.0,3,0.0,1.0,2,1.5,17.0,-14
22023,1631105,22300453,"JAN 01, 2024",DET @ HOU,L,22.0,6.0,8.0,0.75,0,0.0,0.0,0,0,0.0,3.0,11,14.0,1,0.0,0.0,1,5.0,12.0,0
22023,1631105,22300440,"DEC 30, 2023",DET vs. TOR,W,34.0,6.0,11.0,0.545,0,0.0,0.0,6,6,1.0,2.0,15,17.0,2,0.0,0.0,1,5.0,18.0,-6
22023,1631105,22300421,"DEC 28, 2023",DET @ BOS,L,40.0,5.0,6.0,0.833,0,0.0,0.0,5,6,0.833,7.0,6,14.0,2,0.0,0.0,0,1.5,15.0,-6
22023,1631105,22300406,"DEC 26, 2023",DET vs. BKN,L,33.0,6.0,11.0,0.545,0,0.0,0.0,0,0,0.0,5.0,10,15.0,4,1.0,1.0,1,3.0,12.0,8
22023,1631105,22301206,"DEC 06, 2023",DET vs. MEM,L,30.0,8.0,12.0,0.667,0,0.0,0.0,1,1,1.0,1.0,10,11.0,0,0.0,1.0,2,1.5,17.0,2
22023,1631105,22300283,"DEC 02, 2023",DET vs. CLE,L,30.0,8.0,8.0,1.0,0,0.0,0.0,1,6,0.167,3.0,8,11.0,1,1.0,2.0,2,3.0,17.0,6
22023,1631105,22300268,"NOV 30, 2023",DET @ NYK,L,34.0,5.0,7.0,0.714,0,0.0,0.0,0,0,0.0,0.0,12,12.0,2,0.0,0.0,2,3.0,10.0,1
22023,1631105,22300258,"NOV 29, 2023",DET vs. LAL,L,18.0,3.0,8.0,0.375,0,0.0,0.0,0,0,0.0,4.0,3,7.0,0,0.0,1.0,2,3.0,6.0,-20
22023,1631105,22300253,"NOV 27, 2023",DET vs. WAS,L,33.0,5.0,8.0,0.625,0,0.0,0.0,2,5,0.4,7.0,7,14.0,3,1.0,2.5,6,5.0,12.0,-4
22023,1631105,22300047,"NOV 24, 2023",DET @ IND,L,29.0,5.0,10.0,0.5,0,0.0,0.0,3,4,0.75,4.0,9,13.0,4,1.0,1.0,2,5.0,13.0,-11
22023,1631105,22300008,"NOV 10, 2023",DET vs. PHI,L,23.0,2.0,5.0,0.4,0,0.0,0.0,0,0,0.0,1.0,3,4.0,3,0.0,1.0,3,1.5,4.0,-8
22023,1631105,22300165,"NOV 08, 2023",DET @ MIL,L,28.0,5.0,10.0,0.5,0,0.0,0.0,1,1,1.0,3.0,9,12.0,5,0.0,0.0,2,5.0,11.0,-3
22023,1631105,22300140,"NOV 05, 2023",DET vs. PHX,L,31.0,6.0,10.0,0.6,0,0.0,0.0,0,0,0.0,3.0,8,11.0,3,2.0,0.0,5,4.0,12.0,-19
22023,1631105,22300129,"NOV 02, 2023",DET @ NOP,L,25.0,5.0,8.0,0.625,0,0.0,0.0,2,2,1.0,0.0,5,5.0,1,0.0,0.0,1,5.0,12.0,-12
22023,1631105,22300109,"OCT 30, 2023",DET @ OKC,L,23.0,4.0,11.0,0.364,0,0.0,0.0,0,1,0.0,3.0,4,7.0,1,1.0,0.0,1,3.0,8.0,-8
22023,1631105,22300088,"OCT 28, 2023",DET vs. CHI,W,33.0,9.0,11.0,0.818,0,0.0,0.0,5,5,1.0,6.0,9,15.0,5,1.0,2.0,1,3.0,23.0,6
22023,1631105,22300077,"OCT 27, 2023",DET @ CHA,W,35.0,7.0,8.0,0.875,0,0.0,0.0,0,0,0.0,6.0,11,17.0,3,1.0,2.0,5,3.0,14.0,5
22023,1631105,22300068,"OCT 25, 2023",DET @ MIA,L,32.0,8.0,11.0,0.727,0,0.0,0.0,1,3,0.333,6.0,8,14.0,4,0.0,2.5,4,4.0,17.0,-4
