SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
22024,1630595,22400474.5,"DEC 16, 2024",DET vs. MIA,W,40.0,7.0,17.0,0.412,3,6,0.5,3,5,0.6,1,10,11,16.25,0.0,1.0,4,2,20,9
22024,1630595,22400474.5,"DEC 12, 2024",DET @ BOS,L,35.0,9.0,22.0,0.409,0,4,0.0,0,0,0.0,1,7,8,8.0,0.0,1.0,3,1,18,-19
22024,1630595,22400343.0,"DEC 07, 2024",DET @ NYK,W,35.0,9.0,17.0,0.529,5,8,0.625,6,7,0.857,2,8,10,15.0,1.0,0.0,3,4,29,17
22024,1630595,22400319.0,"DEC 04, 2024",DET @ BOS,L,34.0,11.0,21.0,0.524,3,9,0.333,2,2,1.0,2,7,9,14.0,0.0,1.0,6,5,27,-7
22024,1630595,22400052.0,"DEC 03, 2024",DET vs. MIL,L,33.0,9.0,16.0,0.563,3,6,0.5,2,6,0.333,1,4,5,6.0,1.0,0.0,4,2,23,-20
22024,1630595,22400045.0,"NOV 29, 2024",DET @ IND,W,33.0,10.0,19.0,0.526,4,6,0.667,0,0,0.0,0,6,6,11.0,2.0,0.0,6,3,24,13
22024,1630595,22400260.0,"NOV 21, 2024",DET @ CHA,L,37.0,9.0,26.0,0.346,2,9,0.222,7,9,0.778,4,3,7,10.0,1.0,0.0,5,2,27,-3
22024,1630595,22400244.0,"NOV 18, 2024",DET vs. CHI,L,36.0,8.0,17.0,0.471,4,7,0.571,6,9,0.667,0,6,6,10.0,0.0,0.0,3,3,26,-5
22024,1630595,22400237.0,"NOV 17, 2024",DET @ WAS,W,32.0,7.0,15.0,0.467,2,4,0.5,5,5,1.0,2,8,10,10.0,2.5,1.0,2,2,21,18
22024,1630595,22400011.0,"NOV 15, 2024",DET @ TOR,W,36.0,6.0,21.0,0.286,2,9,0.222,1,2,0.5,2,4,6,10.0,1.0,0.0,4,2,15,-10
22024,1630595,22400223.0,"NOV 13, 2024",DET @ MIL,L,40.0,13.0,29.5,0.382,5,10,0.5,4,4,1.0,2,5,7,11.0,2.0,2.5,6,4,35,-4
22024,1630595,22400002.0,"NOV 12, 2024",DET vs. MIA,W,38.0,6.0,15.0,0.4,2,7,0.286,7,7,1.0,0,7,7,9.0,0.0,2.0,7,1,21,-2
22024,1630595,22400201.0,"NOV 10, 2024",DET vs. HOU,L,36.0,10.0,21.0,0.476,2,4,0.5,4,6,0.667,0,8,8,9.0,0.0,1.0,4,3,26,-6
22024,1630595,22400185.0,"NOV 08, 2024",DET vs. ATL,W,36.0,8.0,17.0,0.471,1,4,0.25,5,5,1.0,1,10,11,13.0,1.0,1.0,7,2,22,3
22024,1630595,22400169.0,"NOV 06, 2024",DET @ CHA,L,38.0,9.0,23.0,0.391,0,4,0.0,2,2,1.0,1,9,10,10.0,0.0,0.0,2,5,20,-1
22024,1630595,22400156.0,"NOV 04, 2024",DET vs. LAL,W,36.0,7.0,17.0,0.412,1,5,0.2,2,5,0.4,2,9,11,11.0,0.0,0.0,3,1,17,14
22024,1630595,22400151.0,"NOV 03, 2024",DET @ BKN,W,35.0,8.0,13.0,0.615,1,4,0.25,2,3,0.667,1,5,6,5.0,0.0,0.0,7,3,19,11
22024,1630595,22400134.0,"NOV 01, 2024",DET vs. NYK,L,32.0,10.0,19.0,0.526,2,4,0.5,0,0,0.0,0,6,6,6.0,0.0,1.0,1,1,22,-19
22024,1630595,22400120.0,"OCT 30, 2024",DET @ PHI,W,37.0,6.0,15.0,0.4,4,8,0.5,6,6,1.0,1,4,5,7.0,1.0,1.0,5,2,22,12
22024,1630595,22400105.0,"OCT 28, 2024",DET @ MIA,L,35.0,9.0,18.0,0.5,4,7,0.571,2,3,0.667,1,7,8,6.0,2.0,1.0,5,4,24,-7
22024,1630595,22400089.0,"OCT 26, 2024",DET vs. BOS,L,40.0,9.0,22.0,0.409,2,8,0.25,1,3,0.333,0,6,6,10.0,1.0,2.5,7,2,21,3
22024,1630595,22400080.0,"OCT 25, 2024",DET @ CLE,L,35.0,13.75,24.0,0.583,2,6,0.333,3,3,1.0,2,2,4,6.0,0.0,0.0,9,4,33,-14
22024,1630595,22400063.0,"OCT 23, 2024",DET vs. IND,L,37.0,10.0,23.0,0.435,2,6,0.333,6,6,1.0,0,5,5,8.0,1.0,0.0,2,2,28,-9
