Estatisticas,Total de Jogos,Média de Pontos,Média de Assistências,Média de Rebotes,Média de Minutos em Quadra,Minutos em Quadra
Carreira,158,11.012658227848101,1.8354430379746836,10.0,26.563291139240505,4197
Temporada Atual,30,9.566666666666666,2.2666666666666666,9.2,24.966666666666665,749
