Estatisticas,Total de Jogos,Média de Pontos,Média de Assistências,Média de Rebotes,Média de Minutos em Quadra,Minutos em Quadra
Carreira,165,20.67878787878788,7.0,5.345454545454546,33.56363636363636,5538
Temporada Atual,27,24.22222222222222,9.74074074074074,6.888888888888889,36.25925925925926,979
