SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Home or Road,Adversary,Adversary Name,Game Score
22023,1631093,22301197,2024-04-14,DET @ SAS,L,27,5,13,0.385,1,6,0.167,2,2,1.0,0,1,1,2,0,0,2,0,13,-10,Road,SAS,San Antonio Spurs,95 - 123
22023,1631093,22301181,2024-04-12,DET @ DAL,W,28,3,9,0.333,0,4,0.0,1,3,0.333,0,1,1,5,2,0,2,2,7,12,Road,DAL,Dallas Mavericks,107 - 89
22023,1631093,22301166,2024-04-11,DET vs. CHI,L,31,6,13,0.462,3,5,0.6,1,3,0.333,0,2,2,6,1,0,4,1,16,-16,Home,CHI,Chicago Bulls,105 - 127
22023,1631093,22301145,2024-04-09,DET @ PHI,L,32,8,17,0.471,6,9,0.667,3,6,0.5,3,2,5,4,0,1,5,2,25,-10,Road,PHI,Philadelphia 76ers,102 - 120
22023,1631093,22301128,2024-04-06,DET @ BKN,L,31,7,21,0.333,2,6,0.333,0,0,0.0,1,3,4,10,2,0,0,1,16,-6,Road,BKN,Brooklyn Nets,103 - 113
22023,1631093,22301121,2024-04-05,DET @ MEM,L,32,10,15,0.667,6,8,0.75,5,6,0.833,0,3,3,3,0,0,4,2,31,-5,Road,MEM,Memphis Grizzlies,90 - 108
22023,1631093,22301104,2024-04-03,DET @ ATL,L,27,3,15,0.2,1,4,0.25,1,2,0.5,0,3,3,4,0,0,1,2,8,-10,Road,ATL,Atlanta Hawks,113 - 121
22023,1631093,22301088,2024-04-01,DET vs. MEM,L,35,7,17,0.412,2,8,0.25,4,5,0.8,0,3,3,6,0,0,2,1,20,0,Home,MEM,Memphis Grizzlies,108 - 110
22023,1631093,22301065,2024-03-29,DET @ WAS,W,37,5,17,0.294,1,6,0.167,2,2,1.0,1,6,7,5,0,1,1,3,13,11,Road,WAS,Washington Wizards,96 - 87
22023,1631093,22301035,2024-03-25,DET @ NYK,L,24,2,14,0.143,1,6,0.167,4,4,1.0,2,2,4,3,2,1,2,2,9,-21,Road,NYK,New York Knicks,99 - 124
22023,1631093,22301027,2024-03-24,DET vs. NOP,L,29,5,12,0.417,3,7,0.429,3,4,0.75,1,1,2,4,1,0,4,3,16,-15,Home,NOP,New Orleans Pelicans,101 - 114
22023,1631093,22301011,2024-03-22,DET vs. BOS,L,27,7,13,0.538,1,4,0.25,1,1,1.0,0,4,4,0,0,0,2,3,16,-13,Home,BOS,Boston Celtics,102 - 129
22023,1631093,22300997,2024-03-20,DET vs. IND,L,30,6,13,0.462,1,3,0.333,2,4,0.5,0,2,2,3,2,0,2,1,15,-21,Home,IND,Indiana Pacers,103 - 122
22023,1631093,22300984,2024-03-18,DET @ BOS,L,29,10,19,0.526,1,4,0.25,0,0,0.0,1,4,5,5,0,1,3,3,21,-16,Road,BOS,Boston Celtics,94 - 119
22023,1631093,22300977,2024-03-17,DET vs. MIA,L,24,4,7,0.571,1,3,0.333,1,2,0.5,0,1,1,2,0,1,2,4,10,-6,Home,MIA,Miami Heat,101 - 104
22023,1631093,22300962,2024-03-15,DET vs. MIA,L,38,3,14,0.214,2,9,0.222,6,6,1.0,0,3,3,9,1,0,4,3,14,-3,Home,MIA,Miami Heat,95 - 108
22023,1631093,22300946,2024-03-13,DET vs. TOR,W,37,5,13,0.385,0,2,0.0,4,6,0.667,1,2,3,7,2,1,5,2,14,9,Home,TOR,Toronto Raptors,113 - 104
22023,1631093,22300933,2024-03-11,DET vs. CHA,W,33,4,13,0.308,0,6,0.0,4,4,1.0,1,2,3,4,1,1,1,1,12,8,Home,CHA,Charlotte Hornets,114 - 97
22023,1631093,22300919,2024-03-09,DET vs. DAL,L,36,7,21,0.333,2,9,0.222,1,2,0.5,4,2,6,4,2,1,6,3,17,-16,Home,DAL,Dallas Mavericks,124 - 142
22023,1631093,22300902,2024-03-07,DET vs. BKN,W,39,10,17,0.588,6,9,0.667,8,8,1.0,2,1,3,2,2,0,4,4,34,9,Home,BKN,Brooklyn Nets,118 - 112
22023,1631093,22300888,2024-03-05,DET @ MIA,L,29,6,15,0.4,0,5,0.0,4,5,0.8,0,2,2,4,1,1,2,1,16,-4,Road,MIA,Miami Heat,110 - 118
22023,1631093,22300874,2024-03-03,DET @ ORL,L,25,3,11,0.273,0,5,0.0,4,4,1.0,1,0,1,0,0,0,0,3,10,-29,Road,ORL,Orlando Magic,91 - 113
22023,1631093,22300857,2024-03-01,DET vs. CLE,L,31,6,17,0.353,1,9,0.111,5,6,0.833,1,2,3,4,0,1,1,6,18,-13,Home,CLE,Cleveland Cavaliers,100 - 110
22023,1631093,22300839,2024-02-27,DET @ CHI,W,34,4,7,0.571,1,3,0.333,6,8,0.75,0,2,2,5,1,1,4,3,15,24,Road,CHI,Chicago Bulls,105 - 95
22023,1631093,22300828,2024-02-26,DET @ NYK,L,24,3,10,0.3,1,4,0.25,7,7,1.0,1,1,2,3,1,0,1,1,14,4,Road,NYK,New York Knicks,111 - 113
22023,1631093,22300814,2024-02-24,DET vs. ORL,L,34,3,14,0.214,2,6,0.333,0,0,0.0,0,0,0,7,0,1,2,2,8,1,Home,ORL,Orlando Magic,109 - 112
22023,1631093,22300793,2024-02-22,DET @ IND,L,32,5,11,0.455,1,3,0.333,3,4,0.75,1,1,2,3,0,0,1,2,14,6,Road,IND,Indiana Pacers,115 - 129
22023,1631093,22300787,2024-02-14,DET @ PHX,L,15,0,6,0.0,0,4,0.0,2,2,1.0,0,0,0,0,1,0,2,3,2,-10,Road,PHX,Phoenix Suns,100 - 116
22023,1631093,22300776,2024-02-13,DET @ LAL,L,29,5,16,0.313,1,6,0.167,4,4,1.0,0,2,2,5,2,1,2,5,15,-7,Road,LAL,Los Angeles Lakers,111 - 125
