SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON,Home or Road,Adversary,Adversary Name,Game Score
22022,1631105,22200573,2023-01-04,DET @ GSW,W,32,8,8,1.0,0,0,0.0,2,3,0.667,5,6,11,0,0,0,3,2,18,5,2022-23,Road,GSW,Golden State Warriors,122 - 119
22022,1631105,22200559,2023-01-02,DET @ POR,L,22,2,6,0.333,0,0,0.0,1,2,0.5,5,6,11,3,1,1,0,2,5,-14,2022-23,Road,POR,Portland Trail Blazers,106 - 135
22022,1631105,22200544,2022-12-31,DET @ MIN,W,14,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,1,0,0,1,4,3,-15,2022-23,Road,MIN,Minnesota Timberwolves,116 - 104
22022,1631105,22200532,2022-12-30,DET @ CHI,L,31,2,4,0.5,0,0,0.0,0,0,0.0,3,5,8,3,0,0,1,2,4,-16,2022-23,Road,CHI,Chicago Bulls,118 - 132
22022,1631105,22200515,2022-12-28,DET vs. ORL,W,34,3,5,0.6,0,0,0.0,1,2,0.5,8,10,18,4,0,1,2,5,7,10,2022-23,Home,ORL,Orlando Magic,121 - 101
22022,1631105,22200499,2022-12-26,DET vs. LAC,L,39,7,11,0.636,0,0,0.0,1,1,1.0,7,5,12,2,1,1,1,3,15,-16,2022-23,Home,LAC,Los Angeles Clippers,131 - 142
22022,1631105,22200481,2022-12-23,DET @ ATL,L,28,5,7,0.714,0,0,0.0,3,4,0.75,3,5,8,0,0,1,1,2,13,-6,2022-23,Road,ATL,Atlanta Hawks,105 - 130
22022,1631105,22200467,2022-12-21,DET @ PHI,L,28,3,4,0.75,0,0,0.0,1,2,0.5,2,6,8,4,0,0,2,2,7,-2,2022-23,Road,PHI,Philadelphia 76ers,93 - 113
22022,1631105,22200461,2022-12-20,DET vs. UTA,L,30,7,9,0.778,0,0,0.0,1,1,1.0,6,8,14,0,0,0,1,3,15,-7,2022-23,Home,UTA,Utah Jazz,111 - 126
22022,1631105,22200447,2022-12-18,DET vs. BKN,L,29,4,5,0.8,0,0,0.0,0,0,0.0,3,8,11,2,3,0,2,3,8,13,2022-23,Home,BKN,Brooklyn Nets,121 - 124
22022,1631105,22200429,2022-12-16,DET vs. SAC,L,30,5,7,0.714,0,0,0.0,5,6,0.833,6,8,14,1,0,1,0,4,15,-13,2022-23,Home,SAC,Sacramento Kings,113 - 122
22022,1631105,22200414,2022-12-14,DET @ CHA,W,36,2,8,0.25,0,0,0.0,3,4,0.75,6,13,19,2,0,3,3,4,7,12,2022-23,Road,CHA,Charlotte Hornets,141 - 134
22022,1631105,22200396,2022-12-11,DET vs. LAL,L,24,1,1,1.0,0,0,0.0,1,2,0.5,4,9,13,2,1,0,1,4,3,-5,2022-23,Home,LAL,Los Angeles Lakers,117 - 124
