SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON,Home or Road,Adversary,Adversary Name,Game Score
22022,1631093,22200706,2023-01-23,DET vs. MIL,L,30,4,10,0.4,1,4,0.25,3,6,0.5,2,2,4,11,2,0,4,3,12,-9,2022-23,Home,MIL,Milwaukee Bucks,130 - 150
22022,1631093,22200678,2023-01-19,DET vs. CHI,L,33,7,14,0.5,1,5,0.2,1,1,1.0,0,3,3,4,0,0,4,2,16,-13,2022-23,Home,CHI,Chicago Bulls,108 - 126
22022,1631093,22200648,2023-01-15,DET vs. NYK,L,37,7,19,0.368,2,8,0.25,5,6,0.833,1,5,6,6,0,1,3,5,21,-21,2022-23,Home,NYK,New York Knicks,104 - 117
22022,1631093,22200632,2023-01-13,DET vs. NOP,L,34,4,15,0.267,0,6,0.0,4,5,0.8,1,6,7,6,0,0,4,4,12,-3,2022-23,Home,NOP,New Orleans Pelicans,110 - 116
22022,1631093,22200618,2023-01-11,DET vs. MIN,W,40,7,11,0.636,2,3,0.667,2,4,0.5,0,4,4,8,3,0,2,4,18,8,2022-23,Home,MIN,Minnesota Timberwolves,135 - 118
22022,1631093,22200612,2023-01-10,DET @ PHI,L,24,4,8,0.5,3,5,0.6,6,6,1.0,0,2,2,4,1,0,4,2,17,-32,2022-23,Road,PHI,Philadelphia 76ers,116 - 147
22022,1631093,22200596,2023-01-08,DET vs. PHI,L,28,4,13,0.308,1,2,0.5,1,2,0.5,2,4,6,6,0,0,4,2,10,-14,2022-23,Home,PHI,Philadelphia 76ers,111 - 123
22022,1631093,22200585,2023-01-06,DET @ SAS,L,33,8,14,0.571,2,2,1.0,2,2,1.0,2,1,3,5,0,0,2,4,20,-12,2022-23,Road,SAS,San Antonio Spurs,109 - 121
22022,1631093,22200573,2023-01-04,DET @ GSW,W,27,5,14,0.357,1,4,0.25,1,4,0.25,2,4,6,5,1,0,0,2,12,-3,2022-23,Road,GSW,Golden State Warriors,122 - 119
22022,1631093,22200559,2023-01-02,DET @ POR,L,27,3,11,0.273,1,3,0.333,6,9,0.667,0,3,3,2,0,0,5,5,13,-31,2022-23,Road,POR,Portland Trail Blazers,106 - 135
22022,1631093,22200544,2022-12-31,DET @ MIN,W,20,0,4,0.0,0,1,0.0,1,2,0.5,0,1,1,4,0,0,6,2,1,-14,2022-23,Road,MIN,Minnesota Timberwolves,116 - 104
22022,1631093,22200532,2022-12-30,DET @ CHI,L,29,6,10,0.6,2,5,0.4,8,9,0.889,0,1,1,6,0,0,3,4,22,-14,2022-23,Road,CHI,Chicago Bulls,118 - 132
22022,1631093,22200515,2022-12-28,DET vs. ORL,W,28,1,7,0.143,0,1,0.0,6,7,0.857,1,5,6,4,1,1,3,4,8,-1,2022-23,Home,ORL,Orlando Magic,121 - 101
22022,1631093,22200499,2022-12-26,DET vs. LAC,L,30,4,11,0.364,2,3,0.667,5,6,0.833,2,1,3,8,1,0,3,4,15,-16,2022-23,Home,LAC,Los Angeles Clippers,131 - 142
22022,1631093,22200481,2022-12-23,DET @ ATL,L,28,5,14,0.357,1,3,0.333,4,5,0.8,0,2,2,4,1,0,0,5,15,-20,2022-23,Road,ATL,Atlanta Hawks,105 - 130
22022,1631093,22200467,2022-12-21,DET @ PHI,L,34,7,18,0.389,1,3,0.333,3,6,0.5,2,1,3,1,2,0,3,1,18,-5,2022-23,Road,PHI,Philadelphia 76ers,93 - 113
22022,1631093,22200461,2022-12-20,DET vs. UTA,L,33,10,14,0.714,2,2,1.0,8,11,0.727,1,3,4,5,1,0,5,2,30,-10,2022-23,Home,UTA,Utah Jazz,111 - 126
22022,1631093,22200447,2022-12-18,DET vs. BKN,L,28,7,11,0.636,1,3,0.333,4,6,0.667,1,3,4,1,1,0,1,2,19,7,2022-23,Home,BKN,Brooklyn Nets,121 - 124
22022,1631093,22200429,2022-12-16,DET vs. SAC,L,20,2,9,0.222,1,4,0.25,0,0,0.0,1,2,3,5,1,0,1,6,5,-16,2022-23,Home,SAC,Sacramento Kings,113 - 122
22022,1631093,22200414,2022-12-14,DET @ CHA,W,29,5,9,0.556,0,1,0.0,3,4,0.75,1,2,3,4,0,0,2,3,13,3,2022-23,Road,CHA,Charlotte Hornets,141 - 134
22022,1631093,22200396,2022-12-11,DET vs. LAL,L,25,6,16,0.375,1,6,0.167,3,4,0.75,1,0,1,2,1,1,2,2,16,-8,2022-23,Home,LAL,Los Angeles Lakers,117 - 124
22022,1631093,22200383,2022-12-09,DET @ MEM,L,27,4,14,0.286,1,5,0.2,1,2,0.5,0,4,4,5,1,0,5,3,10,-9,2022-23,Road,MEM,Memphis Grizzlies,103 - 114
22022,1631093,22200371,2022-12-07,DET @ NOP,L,22,4,10,0.4,2,5,0.4,2,4,0.5,1,1,2,0,0,1,3,2,12,-3,2022-23,Road,NOP,New Orleans Pelicans,98 - 104
22022,1631093,22200361,2022-12-06,DET @ MIA,W,26,3,9,0.333,1,4,0.25,3,4,0.75,1,1,2,3,0,0,2,3,10,6,2022-23,Road,MIA,Miami Heat,116 - 96
22022,1631093,22200347,2022-12-04,DET vs. MEM,L,28,2,9,0.222,1,5,0.2,5,6,0.833,0,6,6,3,3,0,4,2,10,-23,2022-23,Home,MEM,Memphis Grizzlies,112 - 122
22022,1631093,22200325,2022-12-01,DET vs. DAL,W,35,6,15,0.4,2,7,0.286,2,4,0.5,1,2,3,6,1,0,4,2,16,3,2022-23,Home,DAL,Dallas Mavericks,131 - 125
22022,1631093,22200270,2022-11-23,DET @ UTA,W,32,5,13,0.385,0,2,0.0,6,7,0.857,1,4,5,6,1,0,1,1,16,0,2022-23,Road,UTA,Utah Jazz,125 - 116
22022,1631093,22200258,2022-11-22,DET @ DEN,W,26,3,11,0.273,1,4,0.25,0,0,0.0,1,5,6,5,1,0,4,2,7,-10,2022-23,Road,DEN,Denver Nuggets,110 - 108
22022,1631093,22200242,2022-11-20,DET @ SAC,L,32,8,14,0.571,4,4,1.0,4,6,0.667,1,3,4,3,0,0,3,5,24,-14,2022-23,Road,SAC,Sacramento Kings,129 - 137
22022,1631093,22200234,2022-11-18,DET @ LAL,L,34,5,18,0.278,1,9,0.111,6,8,0.75,1,3,4,5,0,1,1,2,17,-7,2022-23,Road,LAL,Los Angeles Lakers,121 - 128
22022,1631093,22200223,2022-11-17,DET @ LAC,L,38,8,21,0.381,1,7,0.143,1,2,0.5,1,3,4,5,0,0,4,5,18,-3,2022-23,Road,LAC,Los Angeles Clippers,91 - 96
22022,1631093,22200199,2022-11-14,DET vs. TOR,L,34,6,16,0.375,1,5,0.2,8,10,0.8,0,4,4,8,1,0,4,6,21,3,2022-23,Home,TOR,Toronto Raptors,111 - 115
22022,1631093,22200186,2022-11-12,DET vs. BOS,L,34,8,15,0.533,4,6,0.667,6,6,1.0,2,2,4,3,0,0,4,4,26,-4,2022-23,Home,BOS,Boston Celtics,108 - 117
22022,1631093,22200178,2022-11-11,DET @ NYK,L,25,4,11,0.364,0,1,0.0,2,5,0.4,1,2,3,4,2,0,4,1,10,-17,2022-23,Road,NYK,New York Knicks,112 - 121
22022,1631093,22200163,2022-11-09,DET @ BOS,L,31,6,12,0.5,2,5,0.4,5,7,0.714,3,7,10,6,1,0,0,0,19,-19,2022-23,Road,BOS,Boston Celtics,112 - 128
22022,1631093,22200146,2022-11-07,DET vs. OKC,W,34,6,15,0.4,2,7,0.286,1,1,1.0,3,8,11,6,2,3,2,2,15,13,2022-23,Home,OKC,Oklahoma City Thunder,112 - 103
22022,1631093,22200120,2022-11-04,DET vs. CLE,L,34,6,13,0.462,1,5,0.2,5,6,0.833,1,5,6,3,0,1,4,4,18,-21,2022-23,Home,CLE,Cleveland Cavaliers,88 - 112
22022,1631093,22200113,2022-11-02,DET @ MIL,L,30,3,11,0.273,1,4,0.25,0,0,0.0,0,2,2,1,4,0,2,0,7,-13,2022-23,Road,MIL,Milwaukee Bucks,91 - 116
