Estatisticas,Total de Jogos,Média de Pontos,Média de Assistências,Média de Rebotes,Média de Minutos em Quadra,Minutos em Quadra
Carreira,181,16.116022099447513,4.430939226519337,3.734806629834254,29.944751381215468,5420
Temporada Atual,30,17.6,3.966666666666667,4.133333333333334,29.966666666666665,899
